c_classid;c_instanceid;c_price;c_offers;c_popularity;c_rarity;c_quality;c_heroid;c_slot;c_market_name;c_name_color;c_pop
350665905;188530170;27000;4;8;"Армейское качество";"Закаленное в боях";19;StatTrak™;"StatTrak™ USP-S | Нержавейка (Закаленное в боях)";CF6A32;1187
350681070;188530170;93000;1;0;Засекреченное;"Немного поношенное";19;StatTrak™;"StatTrak™ P250 | Цвета прибоя (Немного поношенное)";CF6A32;1268
350692061;188530170;18000;1;5;"Армейское качество";"Закаленное в боях";19;StatTrak™;"StatTrak™ Glock-18 | Синяя трещина (Закаленное в б";CF6A32;1105
350692914;188530144;59900;1;0;Запрещенное;"Прямо с завода";19;StatTrak™;"StatTrak™ Tec-9 | Частица титана (Прямо с завода)";CF6A32;1000
350757987;480085569;6900;1;0;"Промышленное качество";"После полевых испытаний";3;Обыч.;"ПП-19 Бизон | Ночные операции (После полевых испытаний)";D2D2D2;34
350825203;188530170;395541;2;1;Тайное;"Немного поношенное";19;StatTrak™;"StatTrak™ CZ75-Auto | Виктория (Немного поношенное";CF6A32;830
350835647;188530170;55968;1;0;"Армейское качество";Поношенное;19;StatTrak™;"StatTrak™ USP-S | Нержавейка (Поношенное)";CF6A32;1165
350858158;188530170;39500;2;0;Запрещенное;"После полевых испытаний";19;StatTrak™;"StatTrak™ Five-SeveN | Медная галактика (После полевых испытаний)";CF6A32;873
350867728;188530170;43800;5;2;Засекреченное;"После полевых испытаний";19;StatTrak™;"StatTrak™ CZ75-Auto | Новая фуксия (После полевых ";CF6A32;1000
350873105;188530139;2500;1;0;"Армейское качество";"После полевых испытаний";19;Обыч.;"P2000 | Красные фрагменты (После полевых испытаний)";D2D2D2;1000
350875311;188530139;44000;1;40;Тайное;"Немного поношенное";19;Обыч.;"CZ75-Auto | Виктория (Немного поношенное)";D2D2D2;917
350904080;188530139;6000;1;0;"Армейское качество";"После полевых испытаний";19;Обыч.;"Glock-18 | Синяя трещина (После полевых испытаний)";D2D2D2;434
350918753;188530139;13000;1;0;"Армейское качество";"Прямо с завода";17;Обыч.;"Galil AR | Синий титан (Прямо с завода)";D2D2D2;138
351000190;188530170;112200;2;4;Засекреченное;"Прямо с завода";19;StatTrak™;"StatTrak™ P250 | Цвета прибоя (Прямо с завода)";CF6A32;1243
351113315;188530170;8049;3;2;"Армейское качество";Поношенное;19;StatTrak™;"StatTrak™ P2000 | Красные фрагменты (Поношенное)";CF6A32;1057
351130375;188530170;179900;4;20;Тайное;"После полевых испытаний";19;StatTrak™;"StatTrak™ CZ75-Auto | Виктория (После полевых испы";CF6A32;1239
351130375;188530248;211556;1;0;Тайное;"После полевых испытаний";19;StatTrak™;"StatTrak™ CZ75-Auto | Виктория (После полевых испытаний)";CF6A32;1000
351137241;188530306;9000;1;0;"Армейское качество";Поношенное;19;StatTrak™;"StatTrak™ Dual Berettas | Пантера (Поношенное)";CF6A32;1000
351138332;188530139;1080000;1;0;Тайное;"Прямо с завода";365;★;"★ Штык-нож | Патина (Прямо с завода)";8650AC;941
351198573;188530139;41000;1;8;Тайное;Поношенное;19;Обыч.;"CZ75-Auto | Виктория (Поношенное)";D2D2D2;1081
351342580;188530139;16500;1;0;"Армейское качество";"После полевых испытаний";19;Обыч.;"USP-S | Нержавейка (После полевых испытаний)";D2D2D2;342
351358209;0;6900;1;0;Ширпотреб;"После полевых испытаний";3;Обыч.;"P90 | Сажа (После полевых испытаний)";D2D2D2;80
351379819;188530139;13000;1;0;Запрещенное;"Закаленное в боях";19;Обыч.;"Desert Eagle | Наследие (Закаленное в боях)";D2D2D2;576
351397941;188530139;55000;1;0;Засекреченное;"Прямо с завода";19;Обыч.;"Desert Eagle | Гипнотический (Прямо с завода)";D2D2D2;837
351583165;188530170;21500;1;1;"Армейское качество";"Немного поношенное";49;StatTrak™;"StatTrak™ Nova | Буря (Немного поношенное)";CF6A32;718
351617665;0;6900;1;0;Ширпотреб;"Немного поношенное";17;Обыч.;"AUG | Гроза (Немного поношенное)";D2D2D2;17
351719694;0;6900;1;0;Ширпотреб;"После полевых испытаний";3;Обыч.;"P90 | Песчаное напыление (После полевых испытаний)";D2D2D2;12
352307699;188530170;1149900;1;1;Тайное;Поношенное;365;"★ StatTrak™";"★ StatTrak™ Штык-нож M9 | Ночь (Поношенное)";8650AC;1189
352399643;0;6300;1;0;"Армейское качество";"После полевых испытаний";19;Обыч.;"USP-S | Ночные операции (После полевых испытаний)";D2D2D2;1000
352467952;0;7900;1;0;Запрещенное;"После полевых испытаний";47;Обыч.;"AWP | Гадюка (После полевых испытаний)";D2D2D2;878
352626931;0;6900;1;0;Ширпотреб;"После полевых испытаний";17;Обыч.;"SG 553 | Перфорированные волны (После полевых испытаний)";D2D2D2;12
352651028;188533835;30000;1;0;"Армейское качество";"Прямо с завода";17;StatTrak™;"StatTrak™ AUG | Крылья (Прямо с завода)";CF6A32;1000
352690202;188530139;7294;1;0;"Армейское качество";"Прямо с завода";17;Обыч.;"Galil AR | Синий титан (Прямо с завода)";D2D2D2;287
352725275;480085569;42761;1;0;Засекреченное;"Немного поношенное";17;Обыч.;"M4A1-S | Страж (Немного поношенное)";D2D2D2;1103
352922836;188530170;20000;1;0;"Армейское качество";"После полевых испытаний";47;StatTrak™;"StatTrak™ SCAR-20 | Кровавая паутина (После полевых испытаний)";CF6A32;536
352949647;188530170;9900;1;0;"Армейское качество";"После полевых испытаний";3;StatTrak™;"StatTrak™ ПП-19 Бизон | Синие полутона (После полевых испытаний)";CF6A32;276
353614242;188530170;610214;2;1;Тайное;"После полевых испытаний";365;"★ StatTrak™";"★ StatTrak™ Складной нож | Патина (После полевых и";8650AC;972
353691841;480085569;20000;1;0;Запрещенное;"Немного поношенное";17;Обыч.;"AK-47 | Синий ламинат (Немного поношенное)";D2D2D2;624
