c_classid;c_instanceid;c_price;c_offers;c_popularity;c_rarity;c_quality;c_heroid;c_slot;c_market_name;c_name_color;c_pop
345705857;188530422;25000;1;0;"Армейское качество";"После полевых испытаний";17;StatTrak™;"StatTrak™ SG 553 | Ультрафиолет (После полевых испытаний)";CF6A32;1000
345819326;480085569;11000;1;0;"Армейское качество";"Прямо с завода";19;Обыч.;"P2000 | Серебро (Прямо с завода)";D2D2D2;668
345947115;188530139;7520;1;0;"Армейское качество";"После полевых испытаний";17;Обыч.;"M4A4 | Тусклые полосы (После полевых испытаний)";D2D2D2;505
346011095;0;6300;2;0;"Промышленное качество";"Прямо с завода";3;Обыч.;"P90 | Ясень (Прямо с завода)";D2D2D2;73
346227216;0;6300;1;0;"Промышленное качество";"После полевых испытаний";19;Обыч.;"Desert Eagle | Осадок (После полевых испытаний)";D2D2D2;41
346448028;188530139;279900;2;6;Тайное;Поношенное;365;★;"★ Нож с лезвием-крюком | Африканская сетка (Поноше";8650AC;1200
346529293;480085569;6300;1;0;"Промышленное качество";"После полевых испытаний";19;Обыч.;"Desert Eagle | Осадок (После полевых испытаний)";D2D2D2;40
346758536;188530170;11000;1;0;"Армейское качество";"После полевых испытаний";17;StatTrak™;"StatTrak™ Galil AR | Песчаная буря (После полевых испытаний)";CF6A32;239
347200715;0;2390;1;2;"Промышленное качество";"Немного поношенное";19;Обыч.;"USP-S | Лесные листья (Немного поношенное)";D2D2D2;286
347314890;0;6300;1;0;"Промышленное качество";Поношенное;19;Обыч.;"Desert Eagle | Осадок (Поношенное)";D2D2D2;52
347355740;0;6900;1;0;Ширпотреб;"После полевых испытаний";17;Обыч.;"AUG | Гроза (После полевых испытаний)";D2D2D2;13
347387237;188530139;4490;1;0;"Армейское качество";"После полевых испытаний";3;Обыч.;"ПП-19 Бизон | Синие полутона (После полевых испытаний)";D2D2D2;190
347419339;0;3500;1;2;"Промышленное качество";"После полевых испытаний";17;Обыч.;"M4A1-S | Северный лес (После полевых испытаний)";D2D2D2;282
347453170;188530170;15500;1;0;"Армейское качество";"Прямо с завода";3;StatTrak™;"StatTrak™ ПП-19 Бизон | Знак воды (Прямо с завода)";CF6A32;617
